Player,playerID,pos,GP,minutes,fgMade,fgAttempted,fgPct,threeMade,threeAttempted,threePct,efgPct,ftMade,ftAttempted,ftPct,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,points,allNBA,MVP,DPY
Alex Abrines,abrinal01,G,68,15.5,2,5,0.393,1.4,3.6,0.381,0.531,0.6,0.7,0.898,0.3,1,1.3,0.6,0.5,0.1,0.5,1.7,6,0,0,0
Quincy Acy,acyqu01,F,38,14.7,1.8,4.5,0.412,1,2.4,0.411,0.521,1.2,1.6,0.75,0.5,2.5,3,0.5,0.4,0.4,0.6,1.8,5.8,0,0,0
Steven Adams,adamsst01,C,80,29.9,4.7,8.2,0.571,0,0,0,0.571,2,3.2,0.611,3.5,4.2,7.7,1.1,1.1,1,1.8,2.4,11.3,0,0,0
Arron Afflalo,afflaar01,G,61,25.9,3,6.9,0.44,1,2.5,0.411,0.514,1.4,1.5,0.892,0.1,1.9,2,1.3,0.3,0.1,0.7,1.7,8.4,0,0,0
Alexis Ajinca,ajincal01,C,39,15,2.3,4.6,0.5,0,0.1,0,0.5,0.7,1,0.725,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2,5.3,0,0,0
Cole Aldrich,aldrico01,C,62,8.6,0.7,1.4,0.523,0,0,,0.523,0.2,0.4,0.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,0,0,0
LaMarcus Aldridge,aldrila01,F,72,32.4,6.9,14.6,0.477,0.3,0.8,0.411,0.488,3.1,3.8,0.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3,0,0,0
Lavoy Allen,allenla01,F,61,14.3,1.3,2.8,0.458,0,0,0,0.458,0.4,0.5,0.697,1.7,1.9,3.6,0.9,0.3,0.4,0.5,1.3,2.9,0,0,0
Tony Allen,allento01,G,71,27,3.9,8.4,0.461,0.2,0.8,0.278,0.473,1.1,1.8,0.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1,0,0,0
Al-Farouq Aminu,aminual01,F,61,29.1,3,7.6,0.393,1.1,3.5,0.33,0.468,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1,0.7,1.5,1.7,8.7,0,0,0
Chris Andersen,anderch01,C,12,9.5,0.8,1.8,0.409,0,0.3,0,0.409,0.8,1.2,0.714,0.8,1.8,2.6,0.4,0.4,0.6,0.4,1.7,2.3,0,0,0
Alan Anderson,anderal01,F,30,10.3,1,2.7,0.375,0.5,1.5,0.318,0.463,0.4,0.5,0.75,0.1,0.7,0.8,0.4,0.1,0,0.2,1.2,2.9,0,0,0
Justin Anderson,anderju01,F,75,16.4,2.5,5.9,0.424,0.8,2.6,0.299,0.49,1.4,1.7,0.791,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1,0,0,0
Kyle Anderson,anderky01,G,72,14.2,1.3,2.9,0.445,0.2,0.6,0.375,0.481,0.6,0.8,0.789,0.5,2.4,2.9,1.3,0.7,0.4,0.5,0.9,3.4,0,0,0
Ryan Anderson,anderry01,F,72,29.4,4.5,10.7,0.418,2.8,7,0.403,0.55,1.8,2.1,0.86,1.6,3,4.6,0.9,0.4,0.2,0.8,2,13.6,0,0,0
Giannis Antetokounmpo,antetgi01,F,80,35.6,8.2,15.7,0.521,0.6,2.3,0.272,0.541,5.9,7.7,0.77,1.8,7,8.8,5.4,1.6,1.9,2.9,3.1,22.9,1,0,0
Carmelo Anthony,anthoca01,F,74,34.3,8.1,18.8,0.433,2,5.7,0.359,0.488,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,0,0,0
