playerID,pos,year,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,ftPct,efgPct,allNBA,MVP,DPY
abdelal01,F,1990,6.74,3.14,0.63,1.44,2.07,0.28,0.09,0.28,0.51,0.91,2.7,1.28,1.02,0.58,0.0,0.0,0.568,0.474,0,0,0
abdelal01,F,1991,13.15,6.08,1.14,2.52,3.66,0.42,0.35,0.24,0.93,1.86,5.08,2.51,1.42,1.07,0.0,0.0,0.752,0.493,0,0,0
abdelal01,F,1992,17.48,7.71,1.68,2.81,4.49,0.36,0.33,0.35,1.29,2.52,6.31,3.27,1.55,1.17,0.01,0.0,0.759,0.518,0,0,0
abdelal01,F,1993,12.23,4.92,0.92,2.62,3.54,0.23,0.15,0.23,1.31,1.54,4.23,1.85,1.92,1.23,0.0,0.0,0.64,0.436,0,0,0
abdelal01,F,1994,9.33,4.98,0.67,1.41,2.08,0.25,0.29,0.24,0.88,2.0,4.31,2.29,0.69,0.39,0.04,0.0,0.571,0.532,0,0,0
abdulka01,C,1979,38.33,24.8,2.32,8.49,10.8,4.52,0.99,3.41,3.62,2.63,16.87,10.18,5.8,4.44,0.01,0.0,0.765,0.604,1,1,0
abdulka01,C,1980,37.2,26.19,2.46,7.8,10.26,3.4,0.74,2.85,3.11,3.05,18.21,10.45,6.9,5.29,0.01,0.0,0.766,0.574,1,0,0
abdulka01,C,1981,35.22,23.92,2.26,6.41,8.67,2.96,0.83,2.72,3.03,2.95,17.12,9.91,5.82,4.11,0.04,0.0,0.706,0.579,0,0,0
abdulka01,C,1982,32.33,21.8,2.11,5.38,7.49,2.53,0.77,2.15,2.53,2.78,15.54,9.14,4.7,3.52,0.03,0.0,0.749,0.588,1,0,0
abdulka01,C,1983,32.78,21.46,2.11,5.22,7.34,2.64,0.69,1.79,2.76,2.64,15.48,8.95,4.92,3.56,0.01,0.0,0.723,0.578,1,0,0
abdulka01,C,1984,33.29,21.96,2.05,5.82,7.87,3.15,0.8,2.05,2.49,3.01,15.28,9.15,5.0,3.66,0.01,0.0,0.732,0.599,1,0,0
abdulka01,C,1985,33.28,23.37,1.68,4.37,6.05,3.54,0.85,1.65,2.57,3.14,16.94,9.56,5.56,4.25,0.03,0.0,0.765,0.564,1,0,0
abdulka01,C,1986,31.29,17.51,1.95,4.76,6.71,2.6,0.63,1.24,2.38,3.14,12.73,7.18,4.4,3.14,0.04,0.01,0.714,0.564,0,0,0
abdulka01,C,1987,28.85,14.56,1.48,4.5,5.98,1.69,0.6,1.15,1.99,2.7,11.29,6.0,3.36,2.56,0.01,0.0,0.762,0.532,0,0,0
abdulka01,C,1988,22.91,10.11,1.39,3.12,4.51,1.0,0.51,1.15,1.28,2.65,8.91,4.23,2.23,1.65,0.04,0.0,0.739,0.475,0,0,0
abdulma02,G,1990,22.46,14.06,0.51,1.3,1.81,3.07,0.82,0.06,1.64,2.22,15.06,6.22,1.46,1.25,1.49,0.36,0.857,0.425,0,0,0
abdulma02,G,1991,18.99,10.33,0.27,1.14,1.41,2.37,0.54,0.05,1.44,1.6,10.43,4.4,1.33,1.16,1.16,0.38,0.87,0.44,0,0,0
abdulma02,G,1992,33.46,19.17,0.63,2.15,2.78,4.25,1.04,0.1,2.31,2.21,17.37,7.81,2.86,2.68,2.43,0.86,0.935,0.475,0,0,0
abdulma02,G,1993,32.71,17.96,0.34,1.76,2.1,4.53,1.02,0.12,1.89,1.88,15.99,7.35,2.86,2.74,1.66,0.52,0.956,0.476,0,0,0
abdulma02,G,1994,28.52,15.96,0.44,1.44,1.88,3.6,1.05,0.12,1.63,1.73,13.77,6.47,2.14,1.89,2.95,1.14,0.885,0.511,0,0,0
abdulma02,G,1995,35.6,19.21,0.46,1.96,2.42,6.82,1.12,0.05,2.02,2.05,16.75,7.26,2.75,2.56,5.42,2.12,0.93,0.497,0,0,0
abdulma02,G,1996,28.41,13.75,0.21,1.41,1.63,2.52,0.75,0.08,1.59,2.32,12.32,5.48,1.81,1.53,3.28,1.25,0.846,0.496,0,0,0
abdulma02,G,1997,17.1,7.32,0.19,1.0,1.19,1.87,0.52,0.03,0.61,1.0,8.81,3.32,0.52,0.52,1.0,0.16,1.0,0.386,0,0,0
abdulma02,G,2000,11.85,6.49,0.12,0.49,0.61,1.85,0.22,0.02,0.63,1.22,6.0,2.93,0.71,0.54,0.34,0.1,0.759,0.496,0,0,0
abdulta01,G,1997,16.25,6.37,0.75,1.22,1.97,0.86,0.59,0.22,1.1,1.37,6.05,2.44,2.12,1.42,0.32,0.07,0.672,0.409,0,0,0
abdulta01,G,1998,24.59,9.27,1.47,2.33,3.8,1.02,1.02,0.33,1.43,2.47,8.31,3.61,2.78,1.92,0.43,0.12,0.691,0.442,0,0,0
abdulta01,G,1999,25.87,11.43,1.66,3.11,4.77,1.61,0.97,0.46,1.74,2.41,10.59,4.49,3.16,2.39,0.38,0.05,0.756,0.426,0,0,0
abdulta01,G,2000,14.48,3.83,0.48,1.55,2.03,0.76,0.48,0.45,1.17,1.86,3.83,1.48,1.24,0.72,0.34,0.14,0.583,0.405,0,0,0
abdulta01,G,2001,18.38,5.62,1.71,1.79,3.5,1.0,0.83,0.42,1.12,2.33,6.12,2.29,1.38,1.0,0.08,0.04,0.727,0.378,0,0,0
abdulta01,G,2002,14.57,4.07,1.0,1.86,2.86,1.5,0.43,0.21,0.5,1.86,4.14,1.93,0.43,0.21,0.07,0.0,0.5,0.466,0,0,0
ackeral01,G,2008,7.96,2.88,0.32,0.64,0.96,0.48,0.2,0.16,0.28,0.36,3.04,1.2,0.4,0.2,0.8,0.28,0.5,0.441,0,0,0
acresma01,F,1987,14.57,3.63,1.33,2.09,3.42,0.53,0.37,0.34,0.68,2.51,2.57,1.37,1.41,0.9,0.0,0.0,0.64,0.532,0,0,0
acresma01,F,1988,10.19,2.21,0.95,1.4,2.35,0.31,0.31,0.1,0.37,1.52,1.84,0.89,0.77,0.42,0.02,0.02,0.542,0.487,0,0,0
acresma01,F,1989,21.14,4.53,1.92,3.46,5.39,0.84,0.45,0.31,0.88,3.1,3.56,1.72,1.5,1.04,0.05,0.04,0.692,0.489,0,0,0
acresma01,F,1990,19.31,4.19,2.06,3.22,5.28,0.37,0.37,0.37,0.62,3.21,3.15,1.6,1.49,0.97,0.04,0.01,0.653,0.512,0,0,0
acresma01,F,1991,13.62,3.06,1.43,2.28,3.71,0.32,0.37,0.22,0.49,2.06,2.22,1.15,0.99,0.75,0.04,0.01,0.761,0.52,0,0,0
acresma01,F,1992,14.94,3.56,1.44,2.28,3.72,0.28,0.17,0.33,0.72,1.89,2.72,1.44,0.89,0.61,0.11,0.06,0.688,0.541,0,0,0
adamsal01,C,1979,28.91,14.91,2.11,6.01,8.12,4.29,1.44,0.73,2.91,3.16,11.67,6.2,3.15,2.51,0.03,0.0,0.797,0.531,0,0,0
adamsal01,C,1980,27.39,14.87,2.09,5.19,7.28,4.59,1.41,0.92,3.01,3.01,11.6,6.11,3.45,2.65,0.0,0.0,0.768,0.526,0,0,0
adamsal01,C,1981,30.29,15.14,1.75,5.67,7.42,4.51,1.44,0.99,2.48,3.41,13.0,6.42,2.95,2.3,0.01,0.0,0.781,0.494,0,0,0
adamsal01,C,1982,30.59,14.19,2.01,4.84,6.85,4.7,1.42,0.92,3.02,3.59,12.26,5.96,2.71,2.25,0.04,0.01,0.829,0.487,0,0,0
adamsal01,C,1983,20.74,9.57,1.69,2.87,4.56,3.13,1.04,0.46,1.67,2.79,8.31,3.84,2.29,1.89,0.06,0.0,0.825,0.462,0,0,0
adamsal01,C,1984,26.05,14.66,1.87,4.23,6.1,3.76,1.4,0.59,2.4,3.1,11.16,5.8,3.45,3.05,0.0,0.0,0.883,0.52,0,0,0
adamsal01,C,1985,25.71,10.78,1.9,4.22,6.12,4.15,1.32,0.59,2.64,3.49,8.71,4.37,2.6,2.04,0.03,0.0,0.783,0.502,0,0,0
adamsal01,C,1986,24.85,11.12,1.34,3.63,4.97,3.28,0.91,0.54,2.04,3.04,9.09,4.57,2.5,1.97,0.01,0.0,0.788,0.503,0,0,0
adamsal01,C,1987,20.07,7.45,1.44,3.01,4.45,2.23,1.0,0.5,1.71,2.99,6.17,3.06,1.56,1.32,0.02,0.01,0.844,0.497,0,0,0
adamsha01,G,2006,8.25,2.9,0.58,0.7,1.28,0.22,0.28,0.07,0.37,0.78,2.25,1.25,0.6,0.4,0.02,0.0,0.667,0.556,0,0,0
adamsha01,G,2008,4.33,0.92,0.08,0.5,0.58,0.08,0.08,0.08,0.33,0.33,1.08,0.33,0.5,0.25,0.0,0.0,0.5,0.308,0,0,0
adamsmi01,G,1985,7.72,2.22,0.11,0.22,0.33,1.22,0.5,0.06,0.61,0.5,2.44,0.89,0.67,0.44,0.17,0.0,0.667,0.364,0,0,0
adamsmi01,G,1986,20.68,7.19,0.6,1.35,1.95,3.87,1.35,0.1,1.29,1.4,6.24,2.54,1.97,1.67,1.62,0.44,0.847,0.443,0,0,0
adamsmi01,G,1987,33.88,13.87,0.49,2.23,2.72,6.13,2.05,0.2,1.76,1.68,11.3,5.07,2.43,2.02,4.62,1.7,0.834,0.524,0,0,0
adamsmi01,G,1988,36.19,18.49,0.92,2.75,3.68,6.36,2.16,0.14,2.34,1.94,14.05,6.08,5.1,4.18,6.05,2.16,0.819,0.509,0,0,0
adamsmi01,G,1989,34.05,15.46,0.62,2.23,2.85,6.27,1.53,0.04,1.78,1.68,12.52,5.04,3.97,3.38,5.47,2.0,0.85,0.482,0,0,0
adamsmi01,G,1990,35.55,26.55,0.88,3.0,3.88,10.5,2.23,0.09,3.64,2.45,21.53,8.48,8.02,7.05,8.55,2.53,0.879,0.453,0,0,0
adamsmi01,G,1991,35.83,18.05,0.74,3.23,3.97,7.62,1.86,0.12,2.72,2.08,15.81,6.22,4.62,4.01,4.95,1.6,0.869,0.444,0,0,0
adamsmi01,G,1992,35.7,14.79,0.74,2.69,3.43,7.51,1.43,0.06,2.5,2.09,11.87,5.21,3.96,3.39,3.03,0.97,0.856,0.48,0,0,0
adamsmi01,G,1993,33.39,12.13,0.53,2.09,2.61,6.86,1.37,0.09,2.39,2.0,9.97,4.07,3.86,3.2,2.73,0.79,0.83,0.448,0,0,0
adamsmi01,G,1994,15.28,6.48,0.21,0.79,1.0,3.28,0.79,0.03,0.9,1.41,5.1,2.31,1.03,0.86,2.79,1.0,0.833,0.551,0,0,0
adamsmi01,G,1995,15.67,5.43,0.24,0.81,1.05,3.19,1.0,0.19,1.19,1.19,3.95,1.76,1.67,1.24,1.95,0.67,0.743,0.53,0,0,0
addisra01,F,1986,11.47,5.79,0.66,1.05,1.71,0.73,0.44,0.11,0.87,1.21,5.34,2.35,1.03,0.82,0.81,0.26,0.797,0.465,0,0,0
addisra01,F,1991,15.46,5.84,0.86,1.32,2.17,0.89,0.37,0.37,0.61,1.43,5.68,2.46,1.0,0.74,0.64,0.18,0.737,0.449,0,0,0
addisra01,F,1992,17.12,6.29,0.66,1.28,1.94,0.78,0.34,0.16,0.94,1.84,6.04,2.68,1.03,0.84,0.5,0.1,0.814,0.451,0,0,0
addisra01,F,1994,22.48,8.3,0.85,2.22,3.06,1.38,0.67,0.32,0.89,2.99,7.42,3.53,1.25,0.94,1.05,0.3,0.747,0.497,0,0,0
addisra01,F,1995,9.74,3.23,0.47,1.23,1.7,0.57,0.17,0.17,0.51,1.4,3.11,1.45,0.42,0.32,0.17,0.0,0.773,0.467,0,0,0
addisra01,F,1996,8.66,3.12,0.46,0.63,1.1,0.83,0.2,0.07,0.41,1.27,2.98,1.2,0.68,0.54,0.49,0.2,0.786,0.434,0,0,0
adrieje01,F,2010,8.52,2.48,1.0,1.52,2.52,0.43,0.17,0.22,0.39,1.22,2.35,1.0,0.83,0.48,0.0,0.0,0.579,0.426,0,0,0
adrieje01,F,2011,7.88,2.62,0.62,2.12,2.75,0.12,0.0,0.25,0.25,1.62,2.0,0.88,1.5,0.88,0.0,0.0,0.583,0.438,0,0,0
agerma01,G,2006,6.69,2.16,0.03,0.62,0.66,0.22,0.12,0.09,0.47,0.84,2.19,0.69,1.03,0.62,0.47,0.16,0.606,0.35,0,0,0
agerma01,G,2007,6.31,1.96,0.15,0.35,0.5,0.31,0.0,0.04,0.23,0.65,2.5,0.81,0.46,0.23,0.73,0.12,0.5,0.346,0,0,0
agerma01,G,2008,4.75,1.7,0.15,0.35,0.5,0.15,0.05,0.1,0.2,0.85,2.15,0.75,0.4,0.2,0.3,0.0,0.5,0.349,0,0,0
aguirma01,F,1981,28.78,18.73,1.75,3.14,4.88,3.22,0.73,0.43,2.65,2.98,16.08,7.47,4.84,3.29,1.39,0.49,0.68,0.48,0,0,0
aguirma01,F,1982,34.37,24.43,2.36,3.91,6.27,4.1,0.99,0.32,3.22,3.05,19.62,9.47,7.27,5.3,0.94,0.2,0.728,0.488,0,0,0
aguirma01,F,1983,36.71,29.49,2.04,3.9,5.94,4.53,1.01,0.28,3.61,3.11,22.34,11.71,7.86,5.89,0.71,0.19,0.749,0.528,0,0,0
aguirma01,F,1984,33.74,25.69,2.35,3.61,5.96,3.11,0.75,0.3,3.16,3.12,19.61,9.93,7.25,5.5,1.06,0.34,0.759,0.515,0,0,0
aguirma01,F,1985,33.8,22.57,2.39,3.62,6.01,4.58,0.84,0.19,3.41,3.09,17.93,9.03,6.09,4.3,0.76,0.22,0.705,0.509,0,0,0
aguirma01,F,1986,33.29,25.7,2.26,3.08,5.34,3.18,1.05,0.38,2.71,3.04,19.88,9.84,6.96,5.36,1.88,0.66,0.77,0.512,0,0,0
aguirma01,F,1987,33.9,25.09,2.36,3.27,5.64,3.61,0.91,0.74,2.64,2.9,20.4,9.69,6.55,5.04,2.23,0.68,0.77,0.491,0,0,0
aguirma01,F,1988,32.46,18.89,1.82,3.0,4.82,3.48,0.56,0.45,2.6,2.86,15.88,7.32,4.91,3.6,2.17,0.64,0.733,0.481,0,0,0
aguirma01,F,1989,25.71,14.09,1.5,2.41,3.91,1.86,0.44,0.24,1.55,2.58,11.51,5.62,3.26,2.46,1.19,0.4,0.756,0.505,0,0,0
aguirma01,F,1990,25.72,14.15,1.72,3.08,4.79,1.78,0.6,0.26,1.64,2.68,11.65,5.38,4.06,3.08,1.0,0.31,0.757,0.475,0,0,0
aguirma01,F,1991,21.09,11.35,0.89,2.25,3.15,1.68,0.68,0.15,1.4,2.28,10.49,4.52,3.07,2.11,0.95,0.2,0.687,0.44,0,0,0
